GROUP;DESCRIPTION;P/N;ALT P/N;S/N;MIN QTY;UNIT;CONDITION;WAREHOUSE;STORES;QTY;EXPIRED DATE;GRN NO;VENDOR;RECEIVED DATE;RECEIVED BY;ORDER NUMBER;REFERENCE NUMBER;AWB NUMBER;REMARK;UNIT VALUE
Consumable Part;BOLT;AN7-45A;;;;EA;S/S;WISNU;A3-13;10;;1557/GRN/SPR/2016;AVION LOGISTICS;2016-11-18;BOBBY;POM1116;INV/970012294;DHL#5067771306;;
Consumable Part;CABLE;11-05651 FT;;;;FEET;S/S;WISNU;H4-2;100;;1557/GRN/SPR/2016;AVION LOGISTICS;2016-11-18;BOBBY;POM1109;INV/970012293;DHL#5067771306;;
Consumable Part;CIRCUIT BREAKER;11-08398;;;;EA;S/S;WISNU;A2-4;3;;1557/GRN/SPR/2016;AVION LOGISTICS;2016-11-18;BOBBY;POM1131;INV/970012292;DHL#5067771306;;
Consumable Part;MOUNT HYDROULIC;96902-000;;;;EA;S/S;WISNU;G2;1;;1383/GRN/ME/2016;HAWKER PACIFIC PTY LTD;2016-11-18;BOBBY;POM1131;INV/149831;DHL#2804506751;;
Consumable Part;ADROX;6025;;;;PAIL;S/S;WISNU;FLAMABLE ROOM;1;;1555/GRN/SPR/2016;LUBRINDO JAYA;2016-11-18;BOBBY;POM1127;DN/16-11-1096;;;
Consumable Part;GREASE 22;MIL-PRF-81322;;;;CAN;S/S;WISNU;FLAMABLE ROOM;2;;1555/GRN/SPR/2016;LUBRINDO JAYA;2016-11-18;BOBBY;POM1127;DN/16-11-1096;;;
Consumable Part;HYDRAULIC FLUID;MIL-PRF-5606;;;;LITER;S/S;WISNU;FLAMABLE ROOM;6;;1555/GRN/SPR/2016;LUBRINDO JAYA;2016-11-18;BOBBY;POM1127;DN/16-11-1096;;;
Consumable Part;OIL ENGINE;ASW100;;;;LTR;S/S;WISNU;FLAMABLE ROOM;37.8;;1555/GRN/SPR/2016;LUBRINDO JAYA;2016-11-18;BOBBY;POM1127;DN/16-11-1096;;;
Consumable Part;PRC SEALENT (120Z);PR1422B1/2;;;;SET;S/S;WISNU;D1;1;;1555/GRN/SPR/2016;LUBRINDO JAYA;2016-11-18;BOBBY;POM1127;DN/16-11-1096;;;
Consumable Part;BOARD AY TERMINAL;0570315-1;;;;EA;S/S;WISNU;D3-5;2;;1554/GRN/SPR/2016;YINGLING AVIATION;2016-11-18;BOBBY;POM1130;INV16-26982;DHL#2905502714;;
Consumable Part;COVER;0570316-1;;;;EA;S/S;WISNU;A3-20;2;;1554/GRN/SPR/2016;YINGLING AVIATION;2016-11-18;BOBBY;POM1130;INV16-26982;DHL#2905502714;;
Consumable Part;LINE ASSY BRAKE;0500118-127;;;;EA;S/S;WISNU;B4-1;2;;1554/GRN/SPR/2016;YINGLING AVIATION;2016-11-18;BOBBY;POM1130;INV16-26982;DHL#2905502714;;
Consumable Part;LINK;0511336-1;;;;EA;S/S;WISNU;D3-4;2;;1554/GRN/SPR/2016;YINGLING AVIATION;2016-11-18;BOBBY;POM1130;INV16-26982;DHL#2905502714;;
Consumable Part;NUT;AN315-4R;;;;EA;S/S;WISNU;A3-3;100;;1554/GRN/SPR/2016;YINGLING AVIATION;2016-11-18;BOBBY;POM1130;INV16-26982;DHL#2905502714;;
Repairable Part;KN62A DME;066-1068-01;;17285;;EA;S/S;WISNU;E2;1;;1553/GRN/SPR/2016;AUSTRALIAN AVIONICS;2016-11-15;BOBBY;WOM465;INV/114-026614;DHL#4328946101;;
Repairable Part;TRANSPONDER;066-01156-0101;;5907;;EA;S/S;WISNU;E2;1;;1553/GRN/SPR/2016;AUSTRALIAN AVIONICS;2016-11-15;BOBBY;WOM464;INV/114-026614;DHL#4328946101;;
Consumable Part;CLAMP;A0750161-25;;;;KITS;S/S;WISNU;A5-1;4;;1552/GRN/SPR/2016;EPIC AVIATION;2016-11-12;BOBBY;POM1101;INV/16-017012;DHL#1103047385;;
Consumable Part;CESSNA CONVERTION KIT;MSC172-40PFW;;;;EA;S/S;WISNU;D3-10;2;;1551/GRN/SPR/2016;MILSPEC;2016-11-11;BOBBY;POM1098;INV/42530;DHL#9758065295;;
Consumable Part;CONVERSION KIT;MSC172-40PSD;;;;KIT;S/S;WISNU;D3-10;2;;1551/GRN/SPR/2016;MILSPEC;2016-11-11;BOBBY;POM1098;INV/42530;DHL#9758065295;;
Repairable Part;GNS430;011-00280-10;;97124426;;EA;S/S;WISNU;G2;1;;1383/GRN/ME/2016;AVTEK;2016-11-10;BOBBY;WARRANTY CLAIM;DT-1518;DHL#6107391710;;
Repairable Part;HINGE AY;0511238-2;;;;EA;S/S;WISNU;D3-11;1;;1549/GRN/SPR/2016;YINGLING AVIATION;2016-11-09;BOBBY;POM1123;INV16-26176;DHL#8600553345;;
Consumable Part;SPARK PLUG;REM40E;;;;EA;S/S;WISNU;B2-3;60;;1548/GRN/SPR/2016;AEROSPACE PRODUCT INTERNATIONAL;2016-11-09;BOBBY;POM1060;INV/0081278605;DHL#2160027030;;
Consumable Part;PRESS SWITCH;587-847;;R024040;;EA;S/S;WISNU;G2;1;;1383/GRN/ME/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1115;INV/9304629918;DHL#1436878402;;
Consumable Part;PRESS SWITCH;587-847;;R024030;;EA;S/S;WISNU;G2;1;;1383/GRN/ME/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1115;INV/9304629918;DHL#1436878402;;
Consumable Part;MAIN TYRE;606C66-8;;50862439;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
Consumable Part;MAIN TYRE;606C66-8;;51802164;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
