GROUP;DESCRIPTION;P/N;ALT P/N;S/N;MIN QTY;UNIT;CONDITION;WAREHOUSE;STORES;QTY;EXPIRED DATE;GRN NO;VENDOR;RECEIVED DATE;RECEIVED BY;ORDER NUMBER;REFERENCE NUMBER;AWB NUMBER;REMARK;UNIT VALUE
Consumable Part;BOLT;0750220-1;;N/A;;;;WISNU;D2-10;10;;;;;;;;;;
Consumable Part;BOLT;103-11600;;N/A;;;;WISNU;A3-5;47;;;;;;;;;;
Consumable Part;BOLT;103-11700;;N/A;;;;WISNU;A3-5;8;;;;;;;;;;
Consumable Part;BOLT;103-14300;;N/A;;;;WISNU;D2-15;10;;;;;;;;;;
Consumable Part;BOLT;691-334;;N/A;;;;WISNU;G1;10;;;;;;;;;;
Consumable Part;BOLT;A-2513-38;;N/A;;;;WISNU;D2-12;12;;;;;;;;;;
Consumable Part;BOLT;A-2513-38;;N/A;;;;WISNU;FLAMABLE ROOM;6;;;;;;;;;;
Consumable Part;BOLT;A-2513-38;;N/A;;;;WISNU;FLAMABLE ROOM;6;;;;;;;;;;
Consumable Part;BOLT;AN175-22A;;N/A;;;;WISNU;G1;19;;;;;;;;;;
Consumable Part;BOLT;AN23-10;;N/A;;;;WISNU;D2-12;100;;;;;;;;;;
Consumable Part;BOLT;AN23-11;;N/A;;;;WISNU;D2-11;50;;;;;;;;;;
Consumable Part;BOLT;AN23-12;;N/A;;;;WISNU;D2-12;99;;;;;;;;;;
Consumable Part;BOLT;AN23-21A;;N/A;;;;WISNU;A3-11;50;;;;;;;;;;
Consumable Part;BOLT;AN3-10;;N/A;;;;WISNU;B3-14;10;;;;;;;;;;
Consumable Part;BOLT;AN3-10A;;N/A;;;;WISNU;D3-1;171;;;;;;;;;;
Consumable Part;BOLT;AN3-11A;;N/A;;;;WISNU;A3-5;173;;;;;;;;;;
Consumable Part;BOLT;AN3-40A;;N/A;;;;WISNU;G3;10;;;;;;;;;;
Consumable Part;BOLT;AN3-4A;;N/A;;;;WISNU;A3-5;25;;;;;;;;;;
Consumable Part;BOLT;AN3-5A;;N/A;;;;WISNU;D3-2;13;;;;;;;;;;
Consumable Part;BOLT;AN3-H7A;;N/A;;;;WISNU;G1;20;;;;;;;;;;
Consumable Part;BOLT;AN4-21A;;N/A;;;;WISNU;A3-5;48;;;;;;;;;;
Consumable Part;BOLT;AN4-22A;;N/A;;;;WISNU;A3-5;24;;;;;;;;;;
Consumable Part;BOLT;AN4-31;;N/A;;;;WISNU;A3-5;7;;;;;;;;;;
Consumable Part;BOLT;AN4-31;;N/A;;;;WISNU;A3-8;6;;;;;;;;;;
Consumable Part;BOLT;AN4-36A;;N/A;;;;WISNU;D2-13;97;;;;;;;;;;
Consumable Part;BOLT;AN4-7A;;N/A;;;;WISNU;A3-5;87;;;;;;;;;;
Consumable Part;BOLT;AN4C5;;N/A;;;;WISNU;D2-12;93;;;;;;;;;;
Consumable Part;BOLT;AN4H13A;;N/A;;;;WISNU;A3-5;10;;;;;;;;;;
Consumable Part;BOLT;AN5-10A;;N/A;;;;WISNU;D3-13;23;;;;;;;;;;
Consumable Part;BOLT;AN5-25A;;N/A;;;;WISNU;A3-5;46;;;;;;;;;;
Consumable Part;BOLT;AN5-31A;;N/A;;;;WISNU;D3-13;9;;;;;;;;;;
Consumable Part;BOLT;AN5-35A;;N/A;;;;WISNU;A3-13;10;;;;;;;;;;
Consumable Part;BOLT;AN5-47;;N/A;;;;WISNU;A3-13;20;;;;;;;;;;
Consumable Part;BOLT;AN5-47A;;N/A;;;;WISNU;D2-13;26;;;;;;;;;;
Consumable Part;BOLT;AN6-23A;;N/A;;;;WISNU;A3-5;21;;;;;;;;;;
Consumable Part;BOLT;AN6-27;;N/A;;;;WISNU;A3-5;23;;;;;;;;;;
Consumable Part;BOLT;AN7-24A;;N/A;;;;WISNU;A3-5;10;;;;;;;;;;
Consumable Part;BOLT;AN7-40A;;N/A;;;;WISNU;D2-13;45;;;;;;;;;;
Consumable Part;BOLT;AN7-43A;;N/A;;;;WISNU;D2-13;51;;;;;;;;;;
Consumable Part;BOLT;AN7-44A;;N/A;;;;WISNU;A3-12;16;;;;;;;;;;
Consumable Part;BOLT;AN7-44A;;N/A;;;;WISNU;A3-13;0;;;;;;;;;;
Consumable Part;BOLT;AN7-45A;;N/A;;;;WISNU;A3-13;0;;;;;;;;;;
Consumable Part;BOLT;AN7-45A;;N/A;;;;WISNU;A3-13;10;;;;;;;;;;
Consumable Part;BOLT;AN7-46A;;N/A;;;;WISNU;A3-11;20;;;;;;;;;;
Consumable Part;BOLT;AN7-47;;N/A;;;;WISNU;G3;4;;;;;;;;;;
Consumable Part;BOLT;AN8-21A;;N/A;;;;WISNU;A3-5;36;;;;;;;;;;
Consumable Part;BOLT;AN8-21A;;N/A;;;;WISNU;D2-12;20;;;;;;;;;;
Consumable Part;BOLT;AN8-23A;;N/A;;;;WISNU;D2-12;20;;;;;;;;;;
Consumable Part;BOLT;AN8-25A;;N/A;;;;WISNU;D2-12;20;;;;;;;;;;
Consumable Part;BOLT;LW-31H088;;N/A;;;;WISNU;D2-12;129;;;;;;;;;;
Consumable Part;BOLT;LW-38-275;;N/A;;;;WISNU;G3;4;;;;;;;;;;
Consumable Part;BOLT;MS20004-9;;N/A;;;;WISNU;D3-3;10;;;;;;;;;;
Consumable Part;BOLT;NAS464-3-22;;N/A;;;;WISNU;A3-13;4;;;;;;;;;;
Consumable Part;BOLT;NAS464P7LA44;;N/A;;;;WISNU;A3-5;3;;;;;;;;;;
Consumable Part;BOLT;NAS464P7LA44;;N/A;;;;WISNU;D3-12;0;;;;;;;;;;
Consumable Part;BOLT;NAS6604D17;;N/A;;;;WISNU;A3-5;8;;;;;;;;;;
Consumable Part;BOLT;NAS6605D46;;N/A;;;;WISNU;A3-5;10;;;;;;;;;;
Consumable Part;BOLT;S2323-5;;N/A;;;;WISNU;A3-5;12;;;;;;;;;;
Consumable Part;BOLT MPI;S3461-108;;N/A;;;;WISNU;D2-15;6;;;;;;;;;;
Consumable Part;BOOK INSTRUMENT/COMMERCIAL;10001784-005;;N/A;;;;WISNU;WISNU;0;;;;;;;;;;
Consumable Part;BOOK PRIVATE PILOT;10001360-005;;N/A;;;;WISNU;WISNU;0;;;;;;;;;;
Consumable Part;BOSS AIR BOX;1726048-2;;N/A;;;;WISNU;D2-16;2;;;;;;;;;;
Consumable Part;BOSS AIR BOX;MC0750113-1;;N/A;;;;WISNU;D2-16;0;;;;;;;;;;
Consumable Part;BOTTLE ASSY;86546-006;;N/A;;;;WISNU;G1;2;;;;;;;;;;
Consumable Part;BRACKET;32300-1;;N/A;;;;WISNU;B3-17;5;;;;;;;;;;
Consumable Part;BRACKET;76908;;N/A;;;;WISNU;D2-16;3;;;;;;;;;;
Consumable Part;BRACKET;S2300-12;;N/A;;;;WISNU;B3-17;2;;;;;;;;;;
Consumable Part;BRACKET AIR BOX;07A21443;;N/A;;;;WISNU;D3-12;3;;;;;;;;;;
Consumable Part;BRACKET ASSY;0541212-2;;N/A;;;;WISNU;D3-8;1;;;;;;;;;;
Consumable Part;BRAKE  ASSY;30-75A;;N/A;;;;WISNU;A2-1;0;;;;;;;;;;
Consumable Part;BRAKE  ASSY;30-75A;;N/A;;;;WISNU;A2-1;0;;;;;;;;;;
Consumable Part;BRAKE DISC;164-21600;;N/A;;;;WISNU;G2;4;;;;;;;;;;
