GROUP,DESCRIPTION,P/N,ALT P/N,S/N,MIN QTY,UNIT,CONDITION,WAREHOUSE,STORES,QTY,EXPIRED DATE,GRN NO,VENDOR,RECEIVED DATE,RECEIVED BY,ORDER NUMBER,REFERENCE NUMBER,AWB NUMBER,REMARK,UNIT VALUE
COP,BOOK INSTRUMENT/COMMERCIAL,10001784-005,,N/A,,EA,Serviceable,,WISNU,100,,1540/GRN/SPR/2016,AVIALL PTE LTD,1-Nov-16,BOBBY,POM1110,INV/9304549123,PT.LINTAS DEWATA CARGO,,
COP,BOOK PRIVATE PILOT,10001360-005,,N/A,,EA,Serviceable,,WISNU,100,,1540/GRN/SPR/2016,AVIALL PTE LTD,1-Nov-16,BOBBY,POM1110,INV/9304549123,VIA PT.LINTAS DEWATA CARGO,,
COP,COMPUTER STUDENT FLT,10001316,,N/A,,EA,Serviceable,,WISNU,100,,1540/GRN/SPR/2016,AVIALL PTE LTD,1-Nov-16,BOBBY,POM1110,INV/9304549123,PT.LINTAS DEWATA CARGO,,
COP,MANUAL GFD MULTI ENGINE,10001888-003,,N/A,,EA,Serviceable,,WISNU,100,,1540/GRN/SPR/2016,AVIALL PTE LTD,1-Nov-16,BOBBY,POM1110,INV/9304549123,PT.LINTAS DEWATA CARGO,,
COP,PLOTTER PJ-1  ROTATING AZMIUTH,10009524-001,,N/A,,EA,Serviceable,,WISNU,100,,1540/GRN/SPR/2016,AVIALL PTE LTD,1-Nov-16,BOBBY,POM1110,INV/9304549123,PT.LINTAS DEWATA CARGO,,
REP,LIFE VEST,P01074-101,,12011480771,,EA,Serviceable,,B1,1,,1539/GRN/SPR/2016,PT.REKATAMA PUTRA GEGANA,29-Oct-16,BOBBY,WO,INV/160/BPP/RPG/10/2016,VIA JNE,,
REP,LIFE VEST,P01074-101,,12011480532,,EA,Serviceable,,B1,1,,1539/GRN/SPR/2016,PT.REKATAMA PUTRA GEGANA,29-Oct-16,BOBBY,WO,INV/160/BPP/RPG/10/2016,VIA JNE,,
REP,LIFE VEST,P01074-101,,11050300013,,EA,Serviceable,,B1,1,,1539/GRN/SPR/2016,PT.REKATAMA PUTRA GEGANA,29-Oct-16,BOBBY,WO,INV/160/BPP/RPG/10/2016,VIA JNE,,
REP,LIFE VEST,P01074-101,,11050300009,,EA,Serviceable,,B1,1,,1539/GRN/SPR/2016,PT.REKATAMA PUTRA GEGANA,29-Oct-16,BOBBY,WO,INV/16/BPP/RPG/10/2016,VIA JNE,,
COP,AFM8 KIT,AFM8-KIT,,N/A,,KIT,Serviceable,,SPECIAL TOOLS,1,,1538/GRN/SPR/2016,EDMO ASIA PACIFIC,29-Oct-16,BOBBY,POM1102,INV/S166220-D01,DHL#8007301293,,
