GROUP,DESCRIPTION,Part Number,ALT P/N,Serial Number,MIN QTY,Unit,CONDITION,WAREHOUSE,STORES,QTY,EXPIRED DATE,GRN NO,VENDOR,RECEIVED DATE,RECEIVED BY,ORDER NUMBER,REFERENCE NUMBER,AWB NUMBER,REMARK,UNIT VALUE
CONSUMABLE PART,SENDER ASSY,548-729,,,0,EA,,WISNU,G2,2,,,,,,,,,,0
CONSUMABLE PART,SENSOR CURRENT,CS3200,,117916,0,EA,,WISNU,C2-2,1,,,,,,,,,,0
CONSUMABLE PART,SHAF TACHOMETER,S2550-10,,,0,EA,,WISNU,B4-2,3,,,,,,,,,,0
CONSUMABLE PART,SHAF TACHOMETER,S2550-10,,,0,EA,,WISNU,B4-2,2,,,,,,,,,,0
CONSUMABLE PART,SHAFT,1217050-5,,,0,EA,,WISNU,A3-20,4,,,,,,,,,,0
CONSUMABLE PART,SHAFT AIR BOX,05-04431,,,0,EA,,WISNU,D2-11,1,,,,,,,,,,0
CONSUMABLE PART,SHAFT AY,LH,1217050-6,,,0,EA,,WISNU,A3-20,4,,,,,,,,,
CONSUMABLE PART,SHAFT TACH,S2550-15,,,0,EA,,WISNU,B4-2,4,,,,,,,,,,0
CONSUMABLE PART,SHIELD,0723201-1,,,0,EA,,WISNU,A4-2,3,,,,,,,,,,0
CONSUMABLE PART,SHIELD,0723201-1,,,0,EA,,WISNU,A4-2,3,,,,,,,,,,0
CONSUMABLE PART,SHIELD AY,0553028-1,,,0,EA,,WISNU,B4-2,2,,,,,,,,,,0
CONSUMABLE PART,SHROUD CARB HEAT,0554006-1,,,0,EA,,WISNU,A4-1,1,,,,,,,,,,0
CONSUMABLE PART,SHROUD MUFFLER,A9954100-3,,50783,0,EA,,WISNU,F3,1,,,,,,,,,,0
CONSUMABLE PART,SILENCER,0710013-5,,,0,ASSY,,WISNU,B3-15,1,,,,,,,,,,0
CONSUMABLE PART,SILICON BAFFLE,05-00810,,,0,EA,,WISNU,G1,9,,,,,,,,,,0
