No.,MS#,MS Date,Aircraft,Description,Part Number,Serial Number,Qty,Unit,Warehouse,Stores,Req. Reference,Remark
"1,257",3942/MS/SPR/2016,8-Nov-16,PK-ROT,COTTER PIN,MS24665-360,N/A,2,EA,BANYUWANGI,BWI,INSPECTION 100 HI,
"1,258",3942/MS/SPR/2016,8-Nov-16,PK-ROT,GARTER FILTER,ARB3-5-1,N/A,1,EA,BANYUWANGI,BWI,INSPECTION 100 HI,
"1,259",3942/MS/SPR/2016,8-Nov-16,PK-ROT,AIR FILTER,BA6108,N/A,1,EA,BANYUWANGI,BWI,INSPECTION 100 HI,
"1,260",3942/MS/SPR/2016,8-Nov-16,PK-ROT,OIL FILTER,CH48110-1,N/A,1,EA,BANYUWANGI,BWI,INSPECTION 100 HI,
"1,261",3942/MS/SPR/2016,8-Nov-16,PK-ROT,OIL ENGINE,ASW100+,N/A,8,LITER,BANYUWANGI,BWI,INSPECTION 100 HI,
"1,262",3942/MS/SPR/2016,5-Nov-16,PK-ROO,OIL ENGINE,ASW100+,N/A,1,LITER,BANYUWANGI,BWI,INSPECTION 100 HI,
"1,263",3942/MS/SPR/2016,5-Nov-16,PK-ROO,COTTER PIN,MS24665-132,N/A,2,EA,BANYUWANGI,BWI,INSPECTION 100 HI,
"1,264",3942/MS/SPR/2016,5-Nov-16,PK-ROO,COTTER PIN,MS24665-360,N/A,2,EA,BANYUWANGI,BWI,INSPECTION 100 HI,
"1,265",3942/MS/SPR/2016,5-Nov-16,PK-ROO,GARTER FILTER,ARB3-5-1,N/A,1,EA,BANYUWANGI,BWI,INSPECTION 100 HI,
"1,266",3942/MS/SPR/2016,5-Nov-16,PK-ROO,OIL FILTER,CH48110-1,N/A,1,EA,BANYUWANGI,BWI,INSPECTION 100 HI,
"1,267",3942/MS/SPR/2016,5-Nov-16,PK-ROO,OIL ENGINE,ASW100+,N/A,8,LITER,BANYUWANGI,BWI,INSPECTION 100 HI,
"1,268",3942/MS/SPR/2016,3-Nov-16,PK-ROO,GASKET INTAKE,71973,N/A,1,EA,BANYUWANGI,BWI,TROUBLE SHOOTING,
"1,269",3942/MS/SPR/2016,3-Nov-16,PK-ROK,OIL ENGINE,ASW100+,N/A,1,LITER,BANYUWANGI,BWI,DAILY SERVICE,
"1,270",3942/MS/SPR/2016,3-Nov-16,PK-ROO,OIL ENGINE,ASW100+,N/A,1,LITER,BANYUWANGI,BWI,DAILY SERVICE,
"1,271",3942/MS/SPR/2016,2-Nov-16,PK-ROK,OIL ENGINE,ASW100+,N/A,1,LITER,BANYUWANGI,BWI,DAILY SERVICE,
"1,272",3942/MS/SPR/2016,2-Nov-16,PK-ROH,OIL ENGINE,ASW100+,N/A,1,LITER,BANYUWANGI,BWI,DAILY SERVICE,
"1,273",3942/MS/SPR/2016,1-Nov-16,PK-RON,SCREW,AN525-10R8,N/A,1,EA,BANYUWANGI,BWI,INSPECTION 50 HI,
"1,274",3942/MS/SPR/2016,1-Nov-16,PK-RON,RIVET,CCP-54,N/A,7,EA,BANYUWANGI,BWI,INSPECTION 50 HI,
"1,275",3942/MS/SPR/2016,1-Nov-16,PK-RON,CUSTTLE NUT,AN310-3,N/A,1,EA,BANYUWANGI,BWI,INSPECTION 50 HI,
"1,276",3942/MS/SPR/2016,1-Nov-16,PK-RON,CONTACT CLEANER,2016M,N/A,1,EA,BANYUWANGI,BWI,DAILY SERVICE,
"1,277",3942/MS/SPR/2016,1-Nov-16,PK-RON,RIVET,105-00200,N/A,4,EA,BANYUWANGI,BWI,INSPECTION 50 HI,
"1,278",3942/MS/SPR/2016,1-Nov-16,PK-RON,BRAKE LINNING,066-30026,N/A,1,EA,BANYUWANGI,BWI,INSPECTION 50 HI,
"1,279",3942/MS/SPR/2016,1-Nov-16,PK-RON,BRAKE LINNING,066-10500,N/A,1,EA,BANYUWANGI,BWI,INSPECTION 50 HI,
